Counter,Date/time,Latitude,Longitude,Temperature,Humidity
1,2022-03-29 09:32:38.737810,-8.550070133730173,50.29447570347151,34.332,24.5457
2,2022-03-29 09:32:41.499791,-8.410146057497919,50.39610797875466,34.5139,24.6945
3,2022-03-29 09:32:44.157176,-8.275539286031753,50.493778807472296,34.1865,24.5574
4,2022-03-29 09:32:46.779117,-8.142707074506506,50.59006824606712,34.4593,24.6449
5,2022-03-29 09:32:49.412195,-8.009340770486077,50.686652778417454,34.3502,24.3707
